"id","timestamp","temperature","humidity","light","pm2_5","frc","current_speed","free_flow_speed","current_travel_time","free_flow_travel_time","confidence"
"74","2025-03-31 08:32:00","28","84","106.96","48","FRC2","44","65","645","437","1"
"75","2025-03-31 08:37:00","28","84","105.54","48","FRC2","43","65","660","437","1"
"76","2025-03-31 08:42:39","28","84","96.74","53","FRC2","43","66","660","430","1"
"77","2025-03-31 08:47:40","29","82","101.97","51","FRC2","44","65","645","437","1"
"78","2025-03-31 08:52:40","29","84","108.22","53","FRC2","42","65","676","437","1"
"79","2025-03-31 08:57:40","29","85","117.38","52","FRC2","43","66","660","430","1"
"80","2025-03-31 09:02:40","29","85","117.64","52","FRC2","47","65","604","437","1"
"81","2025-03-31 09:07:41","29","85","114.8","52","FRC2","42","65","676","437","1"
"82","2025-03-31 09:12:41","29","86","119.5","52","FRC2","44","65","645","437","1"
"83","2025-03-31 09:17:41","29","86","116.29","52","FRC2","45","65","631","437","1"
"84","2025-03-31 09:22:41","29","86","104.83","53","FRC2","44","65","645","437","1"
"85","2025-03-31 09:27:42","29","86","103.28","0","FRC2","44","65","645","437","1"
"86","2025-04-01 13:08:12","30","72","441.28","0","FRC2","66","66","430","430","1"
"87","2025-04-01 13:13:12","30","71","825.64","43","FRC2","54","65","526","437","1"
"88","2025-04-01 13:18:12","32","64","902.46","43","FRC2","53","65","536","437","1"
"89","2025-04-01 13:23:13","32","63","920.22","44","FRC2","54","66","526","430","1"
"90","2025-04-01 13:28:13","32","63","970.76","44","FRC2","53","65","536","437","1"
"91","2025-04-01 13:33:13","32","62","920.22","43","FRC2","66","66","430","430","1"
"92","2025-04-01 13:38:13","32","62","927.08","43","FRC2","66","66","430","430","1"
"93","2025-04-01 13:43:14","33","63","902.46","42","FRC2","66","66","430","430","1"
"94","2025-04-01 13:48:14","33","62","859.24","42","FRC2","52","66","546","430","1"
"95","2025-04-01 13:53:14","33","61","836.51","0","FRC2","47","65","604","437","1"
"96","2025-04-01 13:58:14","33","60","889.63","0","FRC2","53","65","536","437","1"
"97","2025-04-01 14:03:15","33","61","936.4","0","FRC2","52","66","546","430","1"
"98","2025-04-01 17:30:44","24","73","99.22","0","FRC2","35","65","811","437","1"
"99","2025-04-01 17:35:45","27","81","135.95","61","FRC2","37","65","767","437","1"
"100","2025-04-01 17:40:45","32","63","128.32","64","FRC2","31","65","916","437","1"
"101","2025-04-01 17:45:45","32","62","118.31","65","FRC2","34","65","835","437","1"
"102","2025-04-01 17:50:45","32","62","111.85","64","FRC2","33","65","860","437","1"
"103","2025-04-01 17:55:46","32","64","106.96","66","FRC2","35","66","811","430","1"
"104","2025-04-01 18:00:46","32","64","104.83","66","FRC2","35","65","811","437","1"
"105","2025-04-01 18:05:46","32","64","104.91","69","FRC2","39","65","728","437","1"
"106","2025-04-01 18:10:46","32","64","100.97","67","FRC2","43","65","660","437","1"
"107","2025-04-01 18:19:17","32","64","94.81","56","FRC2","41","65","692","437","1"
"108","2025-04-01 18:24:18","32","64","98.01","56","FRC2","44","65","645","437","1"
"109","2025-04-01 18:29:18","32","63","95.84","57","FRC2","41","65","692","437","1"
"110","2025-04-01 18:34:18","32","63","94.73","57","FRC2","45","66","631","430","1"
"111","2025-04-01 18:39:18","32","63","94.36","58","FRC2","52","65","546","437","1"
"112","2025-04-01 18:44:19","32","64","94.36","58","FRC2","49","66","579","430","1"
"113","2025-04-01 18:49:19","32","64","94.21","56","FRC2","50","66","568","430","1"
"114","2025-04-01 18:54:19","32","64","94.51","56","FRC2","49","66","579","430","1"
"115","2025-04-01 18:59:20","32","64","93.99","55","FRC2","50","66","568","430","1"
"116","2025-04-01 19:04:20","32","64","94.21","0","FRC2","50","66","568","430","1"
"117","2025-04-01 19:09:20","32","64","93.99","0","FRC2","52","66","546","430","1"
"118","2025-04-01 19:19:21","32","64","100.05","0","FRC2","50","65","568","437","1"
"119","2025-04-01 19:20:25","32","64","99.9","0","FRC2","49","65","579","437","1"
"120","2025-04-01 19:25:25","32","64","99.3","47","FRC2","51","65","557","437","1"
"121","2025-04-01 19:30:25","32","65","99.3","47","FRC2","47","65","604","437","1"
"122","2025-04-01 19:35:25","32","65","99.45","47","FRC2","45","65","631","437","1"
"123","2025-04-01 19:40:26","32","65","100.97","48","FRC2","49","65","579","437","1"
"124","2025-04-01 19:45:26","32","65","99.45","48","FRC2","47","65","604","437","1"
"125","2025-04-01 19:55:27","32","66","100.74","49","FRC2","55","65","516","437","1"
"126","2025-04-01 20:00:27","32","66","99.9","51","FRC2","49","65","579","437","1"
"127","2025-04-02 22:27:15","32","71","93.55","36","FRC2","66","66","430","430","1"
"128","2025-04-02 22:32:15","32","64","84.79","36","FRC2","66","66","430","430","1"
"129","2025-04-02 22:37:15","32","64","84.86","35","FRC2","66","66","430","430","1"
"130","2025-04-02 22:42:15","32","64","94.51","35","FRC2","66","66","430","430","1"
"131","2025-04-02 22:47:16","32","63","84.5","36","FRC2","66","66","430","430","1"
"132","2025-04-02 22:52:16","32","63","84.86","37","FRC2","66","66","430","430","1"
"133","2025-04-02 22:57:16","32","63","84.79","37","FRC2","66","66","430","430","1"
"134","2025-04-02 23:02:17","32","63","84.86","37","FRC2","66","66","430","430","1"
"135","2025-04-02 23:07:17","32","63","85.07","37","FRC2","66","66","430","430","1"
"136","2025-04-02 23:12:17","32","63","84.71","0","FRC2","66","66","430","430","1"
"137","2025-04-02 23:17:17","32","64","84.79","0","FRC2","66","66","430","430","1"
